Sr.,Date,Time,Pick up location,drop off location,Yango Economy,Yango Comfort,Yango Bike,Distance (km),Indrive Economy,Indrive Comfort,Indrive Bike,weather
442,05-12-23,10:57:00,Bahria E-8/1,Subway F-8,189,236,80,5.8,197,295,80,normal
443,05-12-23,10:57:00,Bahria E-8/1,Lal Masjid g/6,363,452,182,7.6,377,549,158,normal
444,05-12-23,10:58:00,Bahria E-8/1,Monal Tree House,558,668,222,13,560,810,240,normal
445,05-12-23,10:58:00,Bahria E-8/1,F-7 markaz,256,319,107,3.6,263,389,108,normal
446,05-12-23,10:58:00,Bahria E-8/1,Mall of Islamabad g/7,272,340,119,4.9,295,433,122,normal
447,05-12-23,10:59:00,Bahria E-8/1,Giga Mall f11,932,1193,524,31,1119,1596,487,normal
448,05-12-23,10:59:00,Bahria E-8/1,The Moi Mall f/11,341,426,170,6.5,345,504,144,normal
449,05-12-23,10:59:00,Bahria E-8/1,Al Jannat Mall G-9,370,374,177,4.2,269,399,111,normal
450,05-12-23,11:00:00,Bahria E-8/1,Al Haram Apartments e/11,432,437,188,6,329,483,137,normal
451,05-12-23,11:00:00,Bahria E-8/1,Mindster Coworking  g/6,369,422,162,7.2,367,536,154,normal
452,05-12-23,11:00:00,Bahria E-8/1,The Hive Block J g/6,328,374,146,4.6,288,424,119,normal
453,05-12-23,11:01:00,Bahria E-8/1,Dastarkhwan g/7,723,818,342,9.5,424,616,179,normal
454,05-12-23,11:01:00,Bahria E-8/1,The Desk Coworking I-9,410,470,173,7.9,389,567,164,normal
455,05-12-23,11:01:00,Bahria E-8/1,Kickstart Flagship i/10,434,539,184,9.9,192,657,452,normal
456,05-12-23,11:02:00,Bahria E-8/1,KNCT i/10,413,552,178,9.1,427,621,181,normal
457,05-12-23,11:02:00,Bahria E-8/1,DPL (Pvt) Ltd i/8,298,372,153,4.6,282,415,116,normal
458,05-12-23,11:03:00,Bahria E-8/1,DPL (Pvt) Ltd i/8,396,566,200,8.4,405,590,171,normal
459,05-12-23,11:03:00,Bahria E-8/1,HEC  H - 9/4,552,550,140,5.9,326,478,136,normal
460,05-12-23,11:03:00,Bahria E-8/1,PTA   F - 5/1 ,421,454,191,8.3,402,584,170,normal
461,05-12-23,11:04:00,Bahria E-8/1,PTCL Headquarter g/8,424,438,194,5.2,307,451,128,normal
462,05-12-23,11:05:00,Bahria E-8/1,PTCL Exchange f/8,432,537,224,2.2,484,701,206,normal
463,05-12-23,11:04:00,Bahria E-8/1,Funsol Tech Guldberg,857,914,423,20,768,1099,332,normal
464,05-12-23,11:05:00,Bahria E-8/1,Al Hussain Market I-10/2,708,678,209,14,585,845,251,normal
465,05-12-23,11:06:00,Bahria E-8/1,Quixel G-6/3,512,520,218,7.5,392,571,165,normal
466,05-12-23,11:06:00,Bahria E-8/1,CUST Block E,1233,1154,563,26.9,971,1386,422,normal
467,05-12-23,11:06:00,Bahria E-8/1,FAST (NUCES) h/11,432,537,203,11,484,700,206,normal
468,05-12-23,11:07:00,Bahria E-8/1,NUST Gate-10,521,628,233,13.7,516,745,220,normal
469,05-12-23,11:08:00,Bahria E-8/1,COMSATS (CUI),693,836,366,21,794,1136,343,normal
470,05-12-23,11:09:00,Bahria E-8/1,NUML H-9/4,354,442,160,7.2,363,532,153,normal
471,05-12-23,11:09:00,Bahria E-8/1,Fatima Jinnah Park f/9,334,380,141,5.8,279,411,115,normal
472,05-12-23,11:09:00,Bahria E-8/1,IIUI I-8/3,471,541,205,12.8,440,639,186,normal
473,05-12-23,11:10:00,Bahria E-8/1,PIEAS (lehtrar Road),1099,1395,582,30.5,1091,1557,475,normal
474,05-12-23,11:10:00,Bahria E-8/1,RIPHAH International i/14,385,441,177,7.6,737,1057,318,normal
475,05-12-23,11:11:00,Bahria E-8/1,NUTECH University 1/12,592,666,257,14.5,607,875,261,normal
476,05-12-23,11:11:00,Bahria E-8/1,Dawat Restaurant g/5,517,588,223,10.1,452,656,192,normal
477,05-12-23,11:11:00,Bahria E-8/1,Tandoori Restaurant f/10,333,382,139,6,301,442,125,normal
478,05-12-23,11:12:00,Bahria E-8/1,Kabul Restaurant f/7,264,299,101,3.2,253,375,104,normal
479,05-12-23,11:12:00,Bahria E-8/1,The Carnivore f/6,344,393,147,6.1,318,465,132,normal
480,05-12-23,11:12:00,Bahria E-8/1,Wild Rice Restaurant g/5,409,510,188,10.1,452,656,192,normal
481,05-12-23,11:13:00,Bahria E-8/1,Al Maghreb Serena g/5,395,493,181,10.1,452,656,192,normal
482,05-12-23,11:14:00,Bahria E-8/1,La  Terraza  f/8,257,320,109,4.5,250,371,102,normal
483,05-12-23,11:14:00,Bahria E-8/1,Street 1 Cafe f/6,319,398,161,6.3,323,474,135,normal
484,05-12-23,11:15:00,Bahria E-8/1,Asian Wok f/6,318,397,147,6.6,345,504,144,normal
485,05-12-23,11:15:00,Bahria E-8/1,Savour Food Blue area g/7,313,449,124,5.3,288,425,119,normal
486,05-12-23,11:15:00,Bahria E-8/1,Howdy F-7/3,287,297,120,3.9,244,362,100,normal
487,05-12-23,11:16:00,Bahria E-8/1,Bala Tikka House,933,924,441,25,926,1323,402,normal
488,05-12-23,11:16:00,Bahria E-8/1,Habibi Restaurant F-8,237,241,96,2.6,212,318,86,normal
489,05-12-23,11:17:00,Bahria E-8/1,Zamzama Collection F-7,292,303,120,4,250,371,102,normal
490,05-12-23,11:17:00,Bahria E-8/1,What a Paratha F-11,381,401,169,4.4,345,505,144,normal
491,05-12-23,11:17:00,Bahria E-8/1,McDonald's F-7,337,356,118,6.4,360,420,140,normal
492,05-12-23,11:17:00,Bahria E-8/1,OPTP F-7,336,354,119,4.4,260,385,107,normal
493,05-12-23,11:18:00,Bahria E-8/1,Cheezious F-7 markaz,246,340,95,3.9,247,367,101,normal
494,05-12-23,11:18:00,Bahria E-8/1,2 Broke Engineers F-7,302,385,111,3.7,241,357,98,normal
495,05-12-23,11:18:00,Bahria E-8/1,Pizza Hut I-8,402,529,172,9.7,408,594,172,normal
496,05-12-23,11:18:00,Bahria E-8/1,Dominos Pizza E-11,338,470,146,6.9,358,523,150,normal
497,05-12-23,11:19:00,Bahria E-8/1,Tehzeeb Bakers I-8,494,546,216,9.6,405,590,171,normal
498,05-12-23,11:19:00,Bahria E-8/1,Layer Bake Shop I-8,498,503,217,10.4,405,589,171,normal
499,05-12-23,11:19:00,Bahria E-8/1,Syrian Shawarma,329,374,135,4.4,257,380,105,normal
500,05-12-23,11:19:00,Bahria E-8/1,Ranchers I-8,501,551,218,9.7,408,595,172,normal
501,05-12-23,11:20:00,Bahria E-8/1,Foody Moody Refreshment f/8,262,309,105,2,203,304,81,normal
502,05-12-23,11:20:00,Bahria E-8/1,Kohsar Market f/6,1257,1199,598,6.2,320,469,133,normal
503,05-12-23,11:20:00,Bahria E-8/1,Ayub Market F-8,276,279,112,2.9,209,313,84,normal
504,05-12-23,11:21:00,Bahria E-8/1,New Aabpara Market g/6,457,462,200,7.7,367,536,154,normal
505,05-12-23,11:22:00,Bahria E-8/1,Kiyani Market G/10,327,408,141,7,342,500,143,normal
506,05-12-23,11:23:00,Bahria E-8/1,Sagheer Market f/10,261,326,108,5.2,294,433,122,normal
507,05-12-23,11:24:00,Bahria E-8/1,Supermarket g/10,311,388,135,6.2,320,470,133,normal
508,05-12-23,11:25:00,Bahria E-8/1,Madina Market g/11,177,221,71,1.2,178,290,80,normal
509,05-12-23,11:25:00,Bahria E-8/1,Muslim Market f/10,247,308,100,4.5,253,375,104,normal
510,05-12-23,11:26:00,Bahria E-8/1,Abbasi Market f/8,257,259,83,2.6,197,295,80,normal
511,06-12-23,12:39:00,Shakarparian Hills,Al sahib Heights e/11,526,870,233,15,633,911,272,normal
512,06-12-23,12:45:00,Shakarparian Hills,F8 MARKAZ,386,580,179,9.2,437,634,185,normal
513,06-12-23,12:48:00,Shakarparian Hills,air uni e/8,428,600,218,10,465,675,198,normal
514,06-12-23,12:53:00,Shakarparian Hills,bahria uni e/8,430,645,219,9.7,484,703,206,normal
515,06-12-23,12:57:00,Shakarparian Hills,khayaban e iqbal f/6,425,504,194,9.6,449,652,191,normal
516,06-12-23,13:00:00,Shakarparian Hills,g9 markaz,389,532,180,8.6,408,594,172,normal
517,06-12-23,13:03:00,Shakarparian Hills,NUML G 3,374,567,163,9.5,421,612,178,normal
518,06-12-23,13:06:00,Shakarparian Hills,ibn e sina metro  g/9,382,450,176,8,402,584,170,normal
519,06-12-23,13:09:00,Shakarparian Hills,g11,476,768,207,11,569,821,244,normal
520,06-12-23,13:12:00,Shakarparian Hills,f8 markaz,387,538,179,9.2,437,637,185,normal
521,06-12-23,13:14:00,Shakarparian Hills,g9 bus stop,433,498,178,9,405,589,171,normal
522,06-12-23,13:16:00,Shakarparian Hills,g9 markaz,391,500,180,8.6,408,594,172,normal
523,06-12-23,13:17:00,Shakarparian Hills,HOT N SPICE e/11,567,876,202,16,655,944,282,normal
524,06-12-23,14:16:00,Shakarparian Hills,The Grill burger e/11,462,550,198,7,418,607,177,normal
525,06-12-23,14:18:00,Shakarparian Hills,La Cucina e/11,345,487,100,6,400,587,145,normal
526,06-12-23,14:20:00,Shakarparian Hills,Black Rock Cafe e/11,543,704,252,16,712,1023,307,normal
527,06-12-23,14:23:00,Shakarparian Hills,Kashmir Residency Boys Hostel e/11,552,716,267,16,721,1037,311,normal
528,06-12-23,14:25:00,Shakarparian Hills,SK Residence e/11,687,987,287,17,724,1041,312,normal
529,06-12-23,14:27:00,Shakarparian Hills,Coyote Den Travelers Hostel Islamabad e/11,678,976,287,16,718,1032,310,normal
530,06-12-23,14:30:00,Shakarparian Hills,The Jungle Lounge e/11,538,650,241,16,705,1014,304,normal
531,06-12-23,14:30:00,Islamabad Museum g/5,Hill View Residency e/11,514,610,225,16,671,964,289,normal
532,06-12-23,14:32:00,Islamabad Museum g/5,Sarai Silk Route Islamabad,505,596,224,16,664,955,286,normal
533,06-12-23,14:33:00,Islamabad Museum g/5,Us guest house islamabad E11,604,921,231,16,671,964,289,normal
534,06-12-23,14:34:00,Islamabad Museum g/5,BR 9 -Best Sheesha Cafe in Islamabad e/11,623,923,243,16,677,973,291,normal
535,06-12-23,14:36:00,Islamabad Museum g/5,Metro Consulting Grid Pvt Ltd. e/11,508,627,225,16,674,968,290,normal
536,06-12-23,14:37:00,Islamabad Museum g/5,Lazzat spa Islamabad e/11,683,850,380,15,639,920,275,normal
537,06-12-23,14:38:00,Islamabad Museum g/5,Jamia Masjid Qurtubah e/11,502,614,220,15,626,903,269,normal
538,06-12-23,14:39:00,Islamabad Museum g/5,AJWA RANT A CAR e/11,587,845,231,15,626,902,269,normal
539,06-12-23,14:40:00,Islamabad Museum g/5,"Autism Resource Centre, Islamabad e/11",556,821,223,15,617,889,265,normal
540,06-12-23,14:41:00,Islamabad Museum g/5,The City School E-11 Campus,498,586,219,15,178,290,89,normal
541,06-12-23,14:43:00,Islamabad Museum g/5,Anum Book & Stationers e/11,423,621,145,10,468,679,199,normal
542,06-12-23,14:44:00,Islamabad Museum g/5,Fazaia Inter College Islamabad e/9,404,481,185,10,468,679,199,normal
543,06-12-23,14:46:00,Islamabad Museum g/5,PAF Wards Boys Hostel e/9,398,473,183,9.8,506,732,216,normal
544,06-12-23,14:48:00,Islamabad Museum g/5,Air Headquarters Reception e/9,390,461,180,11,440,638,186,normal
545,06-12-23,14:50:00,Islamabad Museum g/5,Middlecoat Park e/9,408,486,184,11,471,683,200,normal
546,06-12-23,14:52:00,Islamabad Museum g/5,Pakistan Gospel Assemblies Church e/9,558,800,220,14,601,867,258,normal
547,06-12-23,14:53:00,Islamabad Museum g/5,CSD (Canteen Store Department e/10,368,567,143,8,430,626,182,normal
548,06-12-23,14:54:00,Islamabad Museum g/5,Pakistan Gate e/10,421,643,156,11,487,704,207,normal
549,06-12-23,14:56:00,Islamabad Museum g/5,Margalla Greens Golf Club e/8,389,463,173,9.3,437,633,185,normal
550,06-12-23,14:58:00,Islamabad Museum g/5,National Defence University (NDU) e/9,404,510,187,10,462,670,196,normal
551,06-12-23,15:00:00,Islamabad Museum g/5,PNS Hafeez - Naval Hospital e/8,393,472,169,7.3,427,622,181,normal
552,06-12-23,15:01:00,Islamabad Museum g/5,Shelton Guest House f/8,346,438,155,7.2,355,518,149,normal
553,06-12-23,15:03:00,Islamabad Museum g/5,PNS Zafar e/8,421,622,167,7.8,478,692,203,normal
554,06-12-23,15:07:00,Islamabad Museum g/5,PAF Complex Islamabad - AHQ e/9,403,480,185,9.3,462,670,196,normal
555,06-12-23,15:10:00,Islamabad Museum g/5,Faisal Battery Shop e/7,300,478,113,5.9,358,523,150,normal
556,06-12-23,15:11:00,Islamabad Museum g/5,CSD - Canteen Stores Department e/8,364,461,164,7.3,430,626,182,normal
557,06-12-23,15:14:00,Daman-e-Koh,PN Football Ground e/8,365,543,134,7.7,421,614,178,normal
558,06-12-23,15:16:00,Daman-e-Koh,Navy Mess Guestrooms e/8,464,560,172,7.7,420,614,178,normal
559,06-12-23,15:18:00,Daman-e-Koh,PN Central Mess e/8,456,558,171,7.6,421,614,178,normal
560,06-12-23,15:19:00,Daman-e-Koh,Riding Club E-8,489,594,187,8.2,437,636,185,normal
561,06-12-23,15:20:00,Daman-e-Koh,PNS Zafar Helipad e/8,398,543,132,7.8,424,619,179,normal
562,06-12-23,15:22:00,Daman-e-Koh,Islamabad Fire Station e/8,448,548,171,7.6,418,610,177,normal
563,06-12-23,15:23:00,Daman-e-Koh,M.E.S Mosque e/8,449,605,192,27,440,640,186,normal
564,06-12-23,15:24:00,Daman-e-Koh,Bahria Park e/8,467,398,178,8.2,446,469,189,normal
565,06-12-23,15:25:00,Daman-e-Koh,VCNS House e/8,370,598,156,8.3,443,645,188,normal
566,06-12-23,15:16:00,Daman-e-Koh,ARC Officer’s Mess (ARCOM) e/8,473,578,213,8.5,440,640,186,normal
567,06-12-23,15:27:00,Daman-e-Koh,Naval Park e/8,460,532,165,7,411,600,174,normal
568,06-12-23,15:28:00,Daman-e-Koh,Margalla Park f/8,439,476,189,7.7,364,532,153,normal
569,06-12-23,15:29:00,Daman-e-Koh,Special Children Bahria College Islamabad e/8,389,546,123,7.5,415,605,175,normal
570,06-12-23,15:29:00,Mudan Residence guest house e/11,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",411,512,204,16.2,655,942,282,normal
571,06-12-23,15:30:00,Daman-e-Koh,"Post Office, E-8, Islamabad",477,543,178,7.6,418,609,177,normal
572,06-12-23,15:32:00,Mudan Residence guest house e/11,Bismillah Plaza I-10 markaz,440,549,236,15,617,888,265,normal
573,06-12-23,15:35:00,Mudan Residence guest house e/11,Maryam Girls Hostel i-14/3,503,662,270,18.2,1157,1647,504,normal
574,06-12-23,15:32:00,Islamabad Serena Hotel g/5,Backpackers Hostel Islamabad e/11,502,680,226,15,610,879,262,normal
575,06-12-23,15:33:00,Islamabad Serena Hotel g/5,AL VEER GUEST HOUSE & APARTMENTS e/11,603,876,200,16,664,956,286,normal
576,06-12-23,15:34:00,Islamabad Serena Hotel g/5,Arif Javed Rao Park e/11,576,876,201,16,642,923,276,normal
577,06-12-23,15:36:00,Islamabad Serena Hotel g/5,F.E.C.H.S. e/11,538,722,233,16,661,951,284,normal
578,06-12-23,15:37:00,Islamabad Serena Hotel g/5,Mishi Maan Beauty Parlour e/11,535,731,258,16,658,946,283,normal
579,06-12-23,15:39:00,Islamabad Serena Hotel g/5,Ahang Kada e/11,600,901,212,17,671,964,289,normal
580,06-12-23,15:40:00,Islamabad Serena Hotel g/5,Harveys Guest House e/11,581,900,283,17,674,969,290,normal
581,06-12-23,15:42:00,Islamabad Serena Hotel g/5,Peridot Cottage e/11,421,865,190,17,648,933,279,normal
582,06-12-23,15:43:00,Mudan Residence guest house e/11,mezban tandoori islamabad G-11,255,319,126,7.8,386,536,163,normal
583,06-12-23,15:44:00,Islamabad Serena Hotel g/5,Home Inn Guesthouse E11/2,589,876,200,16,652,937,280,normal
584,06-12-23,15:44:00,Islamabad Serena Hotel g/5,Hyatt Aryana Guest House Islamabad e11,579,900,250,17,671,964,289,normal
585,06-12-23,15:46:00,Islamabad Serena Hotel g/5,Al sahib Heights e/11,537,765,224,15,610,879,262,normal
586,06-12-23,15:46:00,Mudan Residence guest house e/11,Jamia Masjid Qurtubah e/11,146,186,78,1.1,184,290,80,normal
587,06-12-23,15:48:00,Islamabad Serena Hotel g/5,F8 MARKAZ,428,578,187,8.9,440,638,186,normal
588,06-12-23,15:49:00,Islamabad Serena Hotel g/5,air uni e/8,456,598,207,10,456,661,193,normal
589,06-12-23,15:50:00,Islamabad Serena Hotel g/5,bahria uni e/8,457,600,189,9.8,465,675,198,normal
590,06-12-23,15:52:00,Mudan Residence guest house e/11,D Watson I-10 Markaz,547,552,221,15.3,629,906,270,normal
591,06-12-23,15:52:00,Islamabad Serena Hotel g/5,khayaban e iqbal f/6,503,598,223,9.7,462,670,196,normal
592,06-12-23,15:53:00,Islamabad Serena Hotel g/5,g9 markaz,382,512,174,8.6,427,620,181,normal
593,06-12-23,15:55:00,Islamabad Serena Hotel g/5,NUML G 3,390,534,198,9.5,443,643,188,normal
594,06-12-23,15:56:00,Islamabad Serena Hotel g/5,ibn e sina metro,435,493,181,8,421,611,178,normal
595,06-12-23,15:58:00,Islamabad Serena Hotel g/5,g11,593,611,203,12,588,847,252,normal
596,06-12-23,16:00:00,Islamabad Serena Hotel g/5,f8 markaz,465,523,169,8.9,440,638,167,normal
597,06-12-23,16:01:00,Aabpara Market g/6,g9 bus stop,338,402,152,7.6,405,589,171,normal
598,06-12-23,16:02:00,Aabpara Market g/6,g9 /1,394,436,168,8,415,603,175,normal
599,06-12-23,16:04:00,Aabpara Market g/6,HOT N SPICE e/11,361,396,147,7,358,522,150,normal
600,06-12-23,16:05:00,Aabpara Market g/6,The Grill burger e/11,404,450,196,5.2,332,487,139,normal
601,06-12-23,16:09:00,Aabpara Market g/6,E7,330,372,148,5.3,323,473,135,normal
602,06-12-23,16:10:00,Aabpara Market g/6,Black Rock Cafe e/11,522,583,218,14,636,916,273,normal
603,06-12-23,16:12:00,Aabpara Market g/6,Kashmir Residency Boys Hostel e/11,531,597,221,15,683,982,294,normal
604,06-12-23,16:13:00,Aabpara Market g/6,SK Residence e/11,590,865,210,15,648,934,279,normal
605,06-12-23,16:15:00,Aabpara Market g/6,Coyote Den Travelers Hostel Islamabad e/11,600,879,212,15,642,925,276,normal
606,06-12-23,16:16:00,Aabpara Market g/6,The Jungle Lounge e/11,517,577,211,15,629,907,270,normal
607,06-12-23,16:17:00,Aabpara Market g/6,Arif Javed Rao Park e/11,589,950,230,14,629,906,270,normal
608,06-12-23,16:19:00,Aabpara Market g/6,Najeeb Pharmacy E-11/3,484,565,208,14,614,884,263,normal
609,06-12-23,16:22:00,Aabpara Market g/6,GLLC Languages Institute Islamabad e/11,587,900,223,14,655,942,282,normal
610,06-12-23,16:23:00,Aabpara Market g/6,BABA JEE GUEST HOUSE e/11,587,900,232,14,648,933,279,normal
611,06-12-23,16:25:00,Aabpara Market g/6,INDUS HERITAGE CLUB e/11,587,856,200,14,620,893,266,normal
612,06-12-23,16:28:00,Aabpara Market g/6,Mudan Residence guest house e/11,484,565,207,14,648,933,279,normal
613,06-12-23,16:30:00,Aabpara Market g/6,Sargodhian Spirit Trust (SST) e/11,601,876,211,13,645,928,277,normal
614,06-12-23,16:32:00,Aabpara Market g/6,Beaconhouse E11 Campus,486,636,240,13,642,924,276,normal
615,06-12-23,16:33:00,Aabpara Market g/6,"IIUI School, E-11 Campus",474,634,236,14,434,628,184,normal
616,06-12-23,16:34:00,Aabpara Market g/6,ARJ Events e/11,557,823,200,13,607,875,261,normal
617,06-12-23,16:36:00,Aabpara Market g/6,BASES INCLUSIVE MONTESSORI e/11,491,656,210,14,642,924,276,normal
618,06-12-23,16:39:00,Aabpara Market g/6,Kamran auto bike shop e/11,463,539,222,13,610,879,262,normal
619,06-12-23,16:40:00,Aabpara Market g/6,Step Inn Guest House Islamabad e/11,481,561,223,14,636,915,273,normal
620,06-12-23,16:41:00,Aabpara Market g/6,Dream Inn Guest House islamabad e/11,600,879,240,14,652,937,280,normal
621,06-12-23,16:42:00,Aabpara Market g/6,Alfalah Manzil Trust e/11,489,573,226,13,648,933,279,normal
622,06-12-23,16:44:00,Aabpara Market g/6,Aura Grande Enclave e/11,444,521,213,14,620,892,266,normal
623,06-12-23,16:45:00,Aabpara Market g/6,LHR Milk Shake e/11,632,911,234,15,674,969,290,normal
624,06-12-23,16:47:00,Aabpara Market g/6,We Play Entertainment Center e/11,465,540,218,13,642,924,276,normal
625,06-12-23,16:48:00,Aabpara Market g/6,AL VEER GUEST HOUSE & APARTMENTS e/11,623,945,232,14,689,992,297,normal
626,06-12-23,16:49:00,Aabpara Market g/6,AHQ Officers' Mess e/9,426,504,190,9.6,528,764,226,normal
627,06-12-23,16:50:00,Aabpara Market g/6,Shaheen Foundation e/9,400,476,182,9,554,799,237,normal
628,06-12-23,16:51:00,Aabpara Market g/6,Fazaia Teachers Training Institute e/9,385,454,169,8.9,560,808,240,normal
629,06-12-23,16:52:00,Aabpara Market g/6,PES Secretariat e/9,480,720,180,8.8,547,790,234,normal
630,06-12-23,16:53:00,Aabpara Market g/6,Pakistan Air Force Mag Sec e/9,401,621,150,9.6,471,685,200,normal
631,06-12-23,16:55:00,Aabpara Market g/6,E-9 Cricket Ground,409,504,185,9.6,471,685,200,normal
632,06-12-23,16:57:00,Jinnah Supermarket  f/7,PAF Finishing School e/9,295,367,123,5.2,497,718,212,normal
633,06-12-23,16:58:00,Jinnah Supermarket f/7,Masjid e Quba e/9,430,509,195,6.2,490,710,209,normal
634,06-12-23,16:59:00,Jinnah Supermarket f/7,Sports Complex e/11,350,423,150,6.9,509,737,217,normal
635,06-12-23,17:00:00,Jinnah Supermarket f/7,PAF Main Mosque e/9,320,407,132,5.6,516,745,220,normal
636,06-12-23,17:03:00,Jinnah Supermarket f/7,Anum Book & Stationers e/9,412,623,156,5.3,475,687,202,normal
637,06-12-23,17:04:00,Jinnah Supermarket f/7,Fazaia Inter College Islamabad e/9,327,460,133,5.3,476,688,202,normal
638,06-12-23,17:05:00,Jinnah Supermarket f/7,PAF Wards Boys Hostel e/9,337,422,135,5.1,490,710,209,normal
639,06-12-23,17:06:00,Jinnah Supermarket f/7,Air Headquarters Reception e/9,289,360,116,5.6,446,646,189,normal
640,06-12-23,17:08:00,Jinnah Supermarket f/7,Middlecoat Park e/9,331,397,131,5.5,478,692,203,normal
641,06-12-23,17:09:00,Jinnah Supermarket f/7,Pakistan Gospel Assemblies Church e/9,460,536,192,9.8,604,872,259,normal
642,06-12-23,17:10:00,Jinnah Supermarket f/7,CSD (Canteen Store Department e/10,475,552,210,3.4,386,565,163,normal
643,06-12-23,17:11:00,Jinnah Supermarket f/7,Pakistan Gate e/10,221,321,76,6.3,263,389,108,normal
644,06-12-23,17:12:00,Jinnah Supermarket f/7,Margalla Greens Golf Club e/8,285,355,114,4.7,193,291,80,normal
645,06-12-23,17:14:00,Jinnah Supermarket f/7,National Defence University (NDU) e/9,324,401,131,5.2,212,317,86,normal
646,06-12-23,17:15:00,Jinnah Supermarket f/7,Arif Javed Rao Park e/11,389,256,100,9.8,415,603,175,normal
647,07-12-23,9:40:00,HOT N SPICE e/11,mezban tandoori islamabad G-11,200,249,91,3.7,263,389,108,normal
648,07-12-23,9:48:00,HOT N SPICE e/11,Mudan Residence guest house e/11,192,240,77,4.3,282,416,116,normal
649,07-12-23,9:50:00,HOT N SPICE e/11, faiz ahmad faiz metro station h/8,292,364,131,8.6,415,602,175,normal
650,07-12-23,9:52:00,HOT N SPICE e/11,"PIMS Metro Bus Station Jinnah Avenue, G 8/3 G-8, Islamabad",247,308,107,7.9,396,576,167,normal
651,07-12-23,9:54:00,HOT N SPICE e/11,Margalla Park f/8,234,291,100,5.4,313,406,130,normal
652,07-12-23,9:56:00,HOT N SPICE e/11,Maryam Girls Hostel i-14/3,484,604,222,14.2,1116,1589,486,normal
653,07-12-23,9:57:00,HOT N SPICE e/11,"BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD I-9/1 I 9/1 I-9, Islamabad",394,491,182,12.3,531,768,227,normal
654,07-12-23,10:05:00,Margalla Park f/6,Ayub Market f7 markaz,138,172,60,1.6,193,291,80,normal
655,07-12-23,10:11:00,Margalla Park f/6,"PIMS Metro Bus Station Jinnah Avenue, G 8/3 G-8, Islamabad",188,235,75,4.1,250,371,102,normal
656,07-12-23,10:15:00,Margalla Park f/6,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",456,568,224,15.4,689,988,297,normal
657,07-12-23,10:18:00,Margalla Park f/6,cheezious i-8,305,381,142,8.9,443,642,188,normal
658,07-12-23,10:20:00,Margalla Park f/6,centaurus mall f/8,177,220,73,3.5,244,361,100,normal
659,07-12-23,10:55:00,Margalla Park f/6,mezban tandoori islamabad G-11,316,394,144,8.8,430,625,182,normal
660,07-12-23,10:59:00,Margalla Park f/6,new boys hostel e/11,604,753,290,19.6,819,1172,354,normal
661,07-12-23,10:00:00,Margalla Park f/6,"BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD I-9/1 I 9/1 I-9, Islamabad",350,437,160,9.8,519,749,221,normal
662,07-12-23,11:35:00,Margalla Park f/6,mezban tandoori islamabad G-11,288,350,117,5.7,323,476,135,normal
663,07-12-23,11:29:00,Auracael Private limited Block A Sector B-17,Suki Sushi Japanese & Korean Restaurant (F10-Markaz),733,913,367,23.4,917,1310,398,normal
664,07-12-23,11:32:00,AL VEER GUEST HOUSE & APARTMENTS e/11,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",378,471,163,8.5,415,606,175,normal
665,07-12-23,11:26:00,AL VEER GUEST HOUSE & APARTMENTS e/11,cheezious i-8,463,646,222,14.4,598,862,256,normal
666,07-12-23,11:24:00,AL VEER GUEST HOUSE & APARTMENTS e/11,Ayub Market f7 markaz,325,405,146,8.4,408,594,172,normal
667,07-12-23,11:21:00,AL VEER GUEST HOUSE & APARTMENTS e/11, faiz ahmad faiz metro station h/8,389,582,190,11.4,509,727,214,normal
668,07-12-23,11:15:00,AL VEER GUEST HOUSE & APARTMENTS e/11,Jamia Masjid Qurtubah e/11,170,238,66,0.95,178,290,80,normal
669,07-12-23,11:09:00,AL VEER GUEST HOUSE & APARTMENTS e/11,new boys hostel e/11,550,686,279,14.3,595,861,255,normal
670,07-12-23,11:39:00,AL VEER GUEST HOUSE & APARTMENTS e/11,"BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD I-9/1 I 9/1 I-9, Islamabad",525,639,210,15.3,626,902,269,normal
671,07-12-23,11:43:00,Fazaia Teachers Training Institute e/9,"BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD I-9/1 I 9/1 I-9, Islamabad",369,460,155,9.7,449,653,191,normal
672,07-12-23,11:46:00,Fazaia Teachers Training Institute e/9,Delight Afghani burger and french fries G-9/4,243,303,102,4.7,294,434,122,normal
673,07-12-23,11:49:00,Fazaia Teachers Training Institute e/9,Jamia Masjid Qurtubah e/11,263,328,112,7,364,532,153,normal
674,07-12-23,11:52:00,Fazaia Teachers Training Institute e/9, faiz ahmad faiz metro station h/8,260,325,114,5.8,326,478,136,normal
675,07-12-23,11:58:00,Auracael Private limited Block A Sector B-17,Faisal Masjid e/8,840,1300,421,27.8,1056,1506,459,normal
676,07-12-23,12:00:00,Auracael Private limited Block A Sector B-17,Sir Syed CASE Institute of Technology b/17,159,220,62,0.5,190,290,80,normal
677,07-12-23,12:08:00,Fazaia Teachers Training Institute e/9,cheezious i-8,342,426,154,8.8,421,612,179,normal
